ra,fase,turma,nome,anonasc,idade22,gnero,anoingresso,instituiodeensino,pedra20,pedra21,pedra22,inde22,cg,cf,ct,nav,avaliador1,recav1,avaliador2,recav2,avaliador3,recav3,avaliador4,recav4,iaa,ieg,ips,recpsicologia,ida,matem,portug,ingls,indicado,atingiupv,ipv,ian,faseideal,defas,destaqueieg,destaqueida,destaqueipv,ano,inde2023,fase_pedra_ano,nomeanonimizado,datadenasc,idade,pedra23,inde23,ipp,mat,por,ing,defasagem,destaqueipv1,inde2024,avaliador5,avaliador6,escola,ativoinativo,ativoinativo1,aluno_id
RA-143,,F,Aluno-143,2009.0,13.0,Menino,2019,Rede Decisão,Topázio,Topázio,Topázio,8.638,24.0,3.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,9.9,5.6,Sem limitações,7.9,9.7,7.7,6.4,Não,Sim,9.5,10.0,Fase 3 (7º e 8º ano),1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-143
RA-144,,F,Aluno-144,2008.0,14.0,Menina,2017,Rede Decisão,Ágata,Quartzo,Topázio,8.181,89.0,9.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,9.3,5.0,Requer avaliação,7.9,7.5,7.2,9.0,Não,Não,8.292,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-144
RA-145,,H,Aluno-145,2006.0,16.0,Menino,2017,Escola Pública,Ágata,Ágata,Quartzo,5.846,746.0,68.0,7.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,0.0,6.3,8.1,Sem limitações,5.2,3.0,4.8,7.8,Sim,Não,7.25,5.0,Fase 6 (2º EM),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-145
RA-146,,H,Aluno-146,2007.0,15.0,Menina,2022,Escola Pública,,,Ametista,7.947,156.0,15.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,9.2,7.5,Não atendido,7.9,6.3,7.3,10.0,Sim,Não,8.208,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-146
RA-147,,H,Aluno-147,2008.0,14.0,Menina,2022,Escola Pública,,,Ametista,7.541,293.0,24.0,4.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,7.7,7.5,Não atendido,6.1,5.8,4.8,7.7,Não,Não,7.25,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-147
RA-148,,H,Aluno-148,2008.0,14.0,Menino,2022,Escola Pública,,,Ametista,7.894,172.0,16.0,2.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,7.9,10.0,Sem limitações,5.3,4.7,6.3,5.0,Sim,Não,7.708,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-148
RA-149,,H,Aluno-149,2007.0,15.0,Menina,2022,Escola Pública,,,Ágata,6.323,679.0,60.0,6.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,9.2,6.5,7.5,Não atendido,5.0,4.0,6.0,,Não,Não,6.125,5.0,Fase 5 (1º EM),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-149
RA-150,,H,Aluno-150,2006.0,16.0,Menina,2020,Escola Pública,Ametista,Ametista,Ágata,6.962,498.0,41.0,5.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.6,6.3,6.9,Sem limitações,6.9,5.3,6.7,8.6,Sim,Não,7.333,5.0,Fase 6 (2º EM),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-150
RA-151,,H,Aluno-151,2006.0,16.0,Menina,2020,Escola Pública,Ametista,Ametista,Ametista,7.563,289.0,23.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,7.5,6.9,Sem limitações,8.3,7.3,8.0,9.5,Sim,Não,7.958,5.0,Fase 6 (2º EM),-2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-151
RA-152,,L,Aluno-152,2006.0,16.0,Menina,2022,Escola Pública,,,Ágata,6.712,586.0,54.0,13.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,8.3,7.0,7.5,Não atendido,6.5,4.0,7.0,8.5,Não,Não,6.292,5.0,Fase 6 (2º EM),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-152
RA-153,,L,Aluno-153,2008.0,14.0,Menina,2018,Rede Decisão,Ágata,Ametista,Ametista,7.535,297.0,25.0,5.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.2,5.0,Requer avaliação,6.6,3.3,7.7,8.8,Não,Não,7.708,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-153
RA-154,,L,Aluno-154,2007.0,15.0,Menino,2017,Escola Pública,Ágata,Ágata,Ágata,6.073,714.0,65.0,15.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,6.1,6.3,Sem limitações,4.0,3.7,6.2,2.1,Sim,Não,6.833,5.0,Fase 5 (1º EM),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-154
RA-155,,L,Aluno-155,2006.0,16.0,Menino,2022,Escola Pública,,,Ametista,7.051,470.0,39.0,9.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase + Bolsa,10.0,8.3,7.5,Não atendido,5.2,4.3,6.8,4.3,Sim,Não,6.833,5.0,Fase 6 (2º EM),-2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-155
RA-156,,L,Aluno-156,2007.0,15.0,Menino,2018,Escola Pública,Ametista,Ágata,Ametista,7.357,376.0,30.0,6.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,10.0,8.3,9.4,Sem limitações,4.4,4.7,6.5,2.1,Sim,Não,7.792,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-156
RA-157,,L,Aluno-157,2010.0,12.0,Menina,2018,Rede Decisão,Ametista,Topázio,Topázio,8.317,59.0,6.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,10.0,6.3,Requer avaliação,7.7,7.0,7.5,8.7,Não,Não,8.292,10.0,Fase 3 (7º e 8º ano),1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-157
RA-158,,L,Aluno-158,2005.0,17.0,Menina,2017,Rede Decisão,Ametista,Ametista,Ametista,7.302,392.0,32.0,7.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,9.8,5.6,Requer avaliação,6.6,5.0,6.7,8.1,Não,Não,8.125,2.5,Fase 7 (3º EM),-3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-158
RA-159,,L,Aluno-159,2007.0,15.0,Menina,2021,Escola Pública,,Ametista,Ágata,6.49,644.0,58.0,14.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,8.1,5.6,Requer avaliação,4.7,4.3,5.8,3.9,Não,Não,6.458,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-159
RA-160,,L,Aluno-160,2007.0,15.0,Menina,2021,Escola Pública,,Ágata,Ágata,6.746,568.0,52.0,12.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,7.2,5.6,Requer avaliação,5.3,2.7,6.0,7.1,Sim,Não,8.25,5.0,Fase 5 (1º EM),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-160
RA-161,,L,Aluno-161,2011.0,11.0,Menina,2018,Rede Decisão,Ametista,Ametista,Ametista,7.957,153.0,14.0,4.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,9.1,5.6,Requer avaliação,6.9,5.3,6.8,8.5,Não,Não,8.083,10.0,Fase 2 (5º e 6º ano),2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-161
RA-162,,L,Aluno-162,2008.0,14.0,Menina,2021,Escola Pública,,Ágata,Ametista,7.215,423.0,34.0,8.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,6.7,8.5,7.5,Requer avaliação,5.5,4.7,5.5,6.4,Não,Não,6.542,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-162
RA-163,,L,Aluno-163,2007.0,15.0,Menina,2021,Escola Pública,,Ágata,Ágata,6.797,556.0,49.0,10.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,7.9,5.6,Requer avaliação,6.7,6.5,6.3,7.4,Não,Não,6.5,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-163
RA-164,,L,Aluno-164,2006.0,16.0,Menino,2018,Escola Pública,Ágata,Ágata,Ágata,6.776,562.0,50.0,11.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase + Bolsa,8.3,7.3,5.6,Requer avaliação,6.5,4.7,6.5,8.3,Sim,Não,7.208,5.0,Fase 6 (2º EM),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-164
RA-165,,L,Aluno-165,2008.0,14.0,Menina,2017,Rede Decisão,Ametista,Ametista,Topázio,8.063,128.0,12.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.1,9.8,5.6,Sem limitações,7.6,5.3,7.8,9.7,Não,Não,7.5,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-165
RA-166,,L,Aluno-166,2008.0,14.0,Menino,2020,Escola Pública,Ametista,Ametista,Topázio,8.253,73.0,8.0,2.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,9.0,6.3,Sem limitações,8.1,7.0,7.2,10.0,Sim,Não,7.542,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-166
RA-167,,P,Aluno-167,2006.0,16.0,Menina,2018,Rede Decisão,Ametista,Ametista,Ametista,7.798,200.0,19.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.2,9.7,5.6,Requer avaliação,7.9,9.3,8.0,6.3,Não,Não,7.833,5.0,Fase 6 (2º EM),-2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-167
RA-168,,P,Aluno-168,2007.0,15.0,Menina,2018,Rede Decisão,Ametista,Ametista,Ágata,6.917,522.0,44.0,5.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,8.3,6.3,Sem limitações,5.9,4.7,8.2,5.0,Não,Não,7.083,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-168
RA-169,,P,Aluno-169,2007.0,15.0,Menina,2018,Escola Pública,Ágata,Ágata,Quartzo,5.159,814.0,73.0,9.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,7.5,5.1,6.3,Sem limitações,3.2,1.3,4.5,3.8,Não,Não,4.792,5.0,Fase 5 (1º EM),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-169
RA-170,,P,Aluno-170,2008.0,14.0,Menina,2018,Rede Decisão,Ametista,Ametista,Ágata,7.007,484.0,40.0,4.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,9.2,5.6,Requer avaliação,4.9,3.7,6.7,4.3,Não,Não,5.792,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-170
RA-171,,P,Aluno-171,2006.0,16.0,Menino,2022,Escola Pública,,,Ágata,6.581,632.0,57.0,7.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.5,6.8,7.5,Sem limitações,5.5,3.0,8.0,,Não,Não,6.875,5.0,Fase 6 (2º EM),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-171
RA-172,,P,Aluno-172,2008.0,14.0,Menina,2018,Rede Decisão,Ametista,Topázio,Topázio,8.673,18.0,1.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,8.9,9.4,Sem limitações,7.3,6.0,7.7,8.1,Não,Sim,8.917,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-172
RA-173,,P,Aluno-173,2005.0,17.0,Menino,2019,Rede Decisão,Ametista,Ametista,Ametista,7.816,198.0,18.0,2.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,9.2,6.9,Requer avaliação,7.9,9.0,7.5,7.1,Não,Sim,9.25,2.5,Fase 7 (3º EM),-3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-173
RA-174,,P,Aluno-174,2007.0,15.0,Menina,2019,Escola Pública,Ágata,Ágata,Ágata,6.075,713.0,64.0,8.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,6.2,7.5,Sem limitações,4.4,4.0,5.3,3.8,Não,Não,6.042,5.0,Fase 5 (1º EM),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-174
RA-175,,P,Aluno-175,2007.0,15.0,Menina,2018,Rede Decisão,Ametista,Ametista,Ágata,6.75,567.0,51.0,6.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,9.2,5.6,Requer avaliação,5.9,4.7,7.2,5.9,Não,Não,5.833,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-175
RA-176,,A,Aluno-176,2009.0,13.0,Menina,2018,Rede Decisão,Topázio,Ametista,Topázio,8.427,44.0,12.0,4.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.6,9.1,5.6,Requer avaliação,6.9,5.1,6.8,8.7,Não,Sim,9.083,10.0,Fase 3 (7º e 8º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-176
RA-177,,A,Aluno-177,2009.0,13.0,Menina,2022,Escola Pública,,,Ametista,7.424,347.0,40.0,9.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,7.9,8.8,4.4,Requer avaliação,6.8,6.0,7.5,,Não,Não,6.958,10.0,Fase 3 (7º e 8º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-177
RA-178,,A,Aluno-178,2009.0,13.0,Menina,2016,Rede Decisão,Ametista,Ametista,Ágata,7.025,481.0,61.0,13.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,0.0,8.8,4.4,Requer avaliação,6.3,6.2,5.3,7.3,Não,Sim,8.458,10.0,Fase 3 (7º e 8º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-178
RA-179,,A,Aluno-179,2010.0,12.0,Menino,2022,Escola Pública,,,Ametista,7.993,145.0,22.0,5.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,9.2,7.5,Sem limitações,6.1,3.7,6.7,8.0,Sim,Não,8.042,10.0,Fase 3 (7º e 8º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-179
RA-180,,A,Aluno-180,2010.0,12.0,Menino,2018,Rede Decisão,Topázio,Topázio,Topázio,8.442,42.0,11.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,8.3,6.3,Requer avaliação,8.1,7.7,8.3,8.3,Não,Sim,8.625,10.0,Fase 3 (7º e 8º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-180
RA-181,,A,Aluno-181,2009.0,13.0,Menina,2019,Rede Decisão,Topázio,Ametista,Topázio,8.623,25.0,6.0,2.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.2,9.5,8.8,Não atendido,6.8,6.8,7.3,6.2,Não,Sim,8.458,10.0,Fase 3 (7º e 8º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-181
RA-182,,A,Aluno-182,2006.0,16.0,Menina,2021,Escola Pública,,Quartzo,Ágata,6.328,677.0,93.0,15.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.5,8.0,7.5,Não atendido,4.1,1.3,5.7,5.4,Não,Não,6.958,2.5,Fase 6 (2º EM),-3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-182
RA-183,,A,Aluno-183,2009.0,13.0,Menina,2022,Escola Pública,,,Ametista,7.3,394.0,46.0,11.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Promovido de Fase,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,8.3,8.8,7.5,Não atendido,3.8,0.0,7.5,,Não,Não,7.25,10.0,Fase 3 (7º e 8º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-183
RA-184,,A,Aluno-184,2006.0,16.0,Menino,2019,Escola Pública,Ametista,Ametista,Ametista,7.28,403.0,47.0,12.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,7.7,7.5,Não atendido,7.2,5.0,7.3,9.3,Sim,Não,8.0,2.5,Fase 6 (2º EM),-3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-184
RA-185,,A,Aluno-185,2007.0,15.0,Menino,2021,Escola Pública,,Quartzo,Ágata,6.615,621.0,81.0,14.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,7.7,7.5,Não atendido,4.5,3.3,5.7,4.5,Não,Não,6.875,5.0,Fase 5 (1º EM),-2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-185
